Category,Order Date,Order ID,Product Name,Sub-Category,Quantity
Technology,7/7/2017,US-2017-169551,AmazonBasics 3-Button USB Wired Mouse,Accessories,3
Technology,12/12/2015,US-2015-167220,AmazonBasics 3-Button USB Wired Mouse,Accessories,4
Technology,6/26/2016,CA-2016-102127,AmazonBasics 3-Button USB Wired Mouse,Accessories,3
Technology,11/9/2015,CA-2015-146486,AmazonBasics 3-Button USB Wired Mouse,Accessories,2
Technology,11/20/2015,CA-2015-112305,AmazonBasics 3-Button USB Wired Mouse,Accessories,2
Technology,3/31/2016,US-2016-151827,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Accessories,2
Technology,4/2/2015,US-2015-122140,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Accessories,3
Technology,7/24/2015,CA-2015-103135,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Accessories,14
Technology,8/24/2015,CA-2015-102491,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Accessories,4
Technology,6/20/2017,CA-2017-132934,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,Accessories,5
Technology,1/27/2017,CA-2017-117870,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,Accessories,3
Technology,2/20/2015,CA-2015-169740,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,Accessories,1
Technology,5/14/2017,US-2017-133361,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,3
Technology,9/23/2017,US-2017-132059,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,2
Technology,2/14/2015,US-2015-147662,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,3
Technology,11/23/2014,US-2014-157385,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,1
Technology,11/3/2014,US-2014-124625,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,3
